season,school_mascot,head_coach,first_season,offensive_coordinators,defensive_coordinators,source_title,source_revid
2009,UCF Knights,George O'Leary,2004,Charlie Taaffe,Dave Huxtable,2009 UCF Knights football team,1369628460
2009,UCLA Bruins,Rick Neuheisel,2008,Norm Chow,Chuck Bullough,2009 UCLA Bruins football team,1375110142
2009,UConn Huskies,Randy Edsall,1999,Joe Moorhead,Todd Orlando,2009 Connecticut Huskies football team,1339608113
2009,UL Monroe Warhawks,Charlie Weatherbie,2003,Jonas Weatherbie / Vance Vice,Troy Reffett,2009 Louisiana–Monroe Warhawks football team,1339608311
2009,UNLV Rebels,Mike Sanford Sr.,2005,Todd Berry,Dennis Therrell,2009 UNLV Rebels football team,1360639608
2009,USC Trojans,Pete Carroll,2001,John Morton,Rocky Seto,2009 USC Trojans football team,1342296408
2009,UTEP Miners,Mike Price,2004,Bob Connelly,Osia Lewis,2009 UTEP Miners football team,1339779664
2009,Utah State Aggies,Gary Andersen,2009,Dave Baldwin,Bill Busch,2009 Utah State Aggies football team,1339779672
2009,Utah Utes,Kyle Whittingham,2005,Dave Schramm,Kalani Sitake,2009 Utah Utes football team,1367293533
2009,Vanderbilt Commodores,Bobby Johnson,2002,Ted Cain,Jamie Bryant,2009 Vanderbilt Commodores football team,1356138156
2009,Virginia Cavaliers,Al Groh,2001,Gregg Brandon,Al Groh,2009 Virginia Cavaliers football team,1339779708
2009,Virginia Tech Hokies,Frank Beamer,1987,Bryan Stinespring,Bud Foster,2009 Virginia Tech Hokies football team,1339779719
2009,Wake Forest Demon Deacons,Jim Grobe,2001,Steed Lobotzke,Brad Lambert,2009 Wake Forest Demon Deacons football team,1365356489
2009,Washington Huskies,Steve Sarkisian,2009,Doug Nussmeier,Nick Holt,2009 Washington Huskies football team,1339779727
2009,Washington State Cougars,Paul Wulff,2008,Todd Sturdy,Chris Ball / Jody Sears,2009 Washington State Cougars football team,1339779734
2009,West Virginia Mountaineers,Bill Stewart,2008,Jeff Mullen,Jeff Casteel,2009 West Virginia Mountaineers football team,1339225542
2009,Western Kentucky Hilltoppers,David Elson,2003,Walter Wells,Mike Dietzel,2009 Western Kentucky Hilltoppers football team,1339779739
2009,Western Michigan Broncos,Bill Cubit,2005,,Steve Morrison,2009 Western Michigan Broncos football team,1368855194
2009,Wisconsin Badgers,Bret Bielema,2006,Paul Chryst,Dave Doeren,2009 Wisconsin Badgers football team,1339779759
2009,Wyoming Cowboys,Dave Christensen,2009,Marcus Arroyo,Marty English,2009 Wyoming Cowboys football team,1339027592
2010,Air Force Falcons,Troy Calhoun,2007,Clay Hendrix / Blane Morgan / Mike Thiessen,Matt Wallerstedt / Charlton Warren,2010 Air Force Falcons football team,1334673801
2010,Akron Zips,Rob Ianello,2010,John Latina,Curt Mallory,2010 Akron Zips football team,1339377303
2010,Alabama Crimson Tide,Nick Saban,2007,Jim McElwain,Kirby Smart,2010 Alabama Crimson Tide football team,1369903881
2010,Arizona State Sun Devils,Dennis Erickson,2007,Noel Mazzone,Craig Bray,2010 Arizona State Sun Devils football team,1339779780
2010,Arizona Wildcats,Mike Stoops,2004,Bill Bedenbaugh / Seth Littrell,Greg Brown / Tim Kish,2010 Arizona Wildcats football team,1362147806
2010,Arkansas Razorbacks,Bobby Petrino,2008,Garrick McGee,Willy Robinson,2010 Arkansas Razorbacks football team,1349689052
2010,Arkansas State Red Wolves,Steve Roberts,2002,Hugh Freeze,Kevin Corless,2010 Arkansas State Red Wolves football team,1353100295
2010,Army Black Knights,Rich Ellerson,2009,Ian Shields,Payam Saadat / Chris Smeland,2010 Army Black Knights football team,1339779804
2010,Auburn Tigers,Gene Chizik,2009,Gus Malzahn,Ted Roof,2010 Auburn Tigers football team,1365600713
2010,BYU Cougars,Bronco Mendenhall,2005,Robert Anae,Jaime Hill,2010 BYU Cougars football team,1370114929
2010,Ball State Cardinals,Stan Parrish,2009,Eddie Faulkner,Jay Hood,2010 Ball State Cardinals football team,1339779812
2010,Baylor Bears,Art Briles,2008,Randy Clements / Philip Montgomery,Brian Norwood,2010 Baylor Bears football team,1369920021
2010,Boise State Broncos,Chris Petersen,2006,Bryan Harsin,Pete Kwiatkowski,2010 Boise State Broncos football team,1371206966
2010,Boston College Eagles,Frank Spaziani,2009,Gary Tranquill,Bill McGovern,2010 Boston College Eagles football team,1334837713
2010,Bowling Green Falcons,Dave Clawson,,Warren Ruggiero,Mike Elko,2010 Bowling Green Falcons football team,1339779830
2010,Buffalo Bulls,Jeff Quinn,2010,Greg Forest,William Inge,2010 Buffalo Bulls football team,1349866744
2010,California Golden Bears,Jeff Tedford,2002,Andy Ludwig,Clancy Pendergast,2010 California Golden Bears football team,1336313339
2010,Central Michigan Chippewas,Dan Enos,2010,Mike Cummings,Joe Tumpkin,2010 Central Michigan Chippewas football team,1339779853
2010,Cincinnati Bearcats,Butch Jones,2010,Mike Bajakian,Tim Banks / John Jancek,2010 Cincinnati Bearcats football team,1369945591
2010,Clemson Tigers,Dabo Swinney,2009,Billy Napier,Kevin Steele,2010 Clemson Tigers football team,1370521769
2010,Colorado Buffaloes,Dan Hawkins,2006,Eric Kiesau,Ron Collins,2010 Colorado Buffaloes football team,1369948329
2010,Colorado State Rams,Steve Fairchild,2008,Pat Meyer,Larry Kerr,2010 Colorado State Rams football team,1330375690
2010,Duke Blue Devils,David Cutcliffe,2008,Kurt Roper,Jim Knowles,2010 Duke Blue Devils football team,1335923592
2010,East Carolina Pirates,Ruffin McNeill,2010,Lincoln Riley,Brian Mitchell,2010 East Carolina Pirates football team,1339779898
2010,Eastern Michigan Eagles,Ron English,2009,Ken Karcher,Phil Snow,2010 Eastern Michigan Eagles football team,1369965103
2010,Florida Atlantic Owls,Howard Schnellenberger,2001,Daryl Jackson,Kurt Van Valkenburgh,2010 Florida Atlantic Owls football team,1339779933
2010,Florida Gators,Urban Meyer,2005,Steve Addazio,Teryl Austin,2010 Florida Gators football team,1373266571
2010,Florida International Panthers,Mario Cristobal,2007,Scott Satterfield,Geoff Collins,2010 FIU Panthers football team,1375114981
2010,Florida State Seminoles,Jimbo Fisher,2010,James Coley,Mark Stoops,2010 Florida State Seminoles football team,1335933148
2010,Fresno State Bulldogs,Pat Hill,1997,,Randy Stewart,2010 Fresno State Bulldogs football team,1338770702
2010,Georgia Bulldogs,Mark Richt,2001,Mike Bobo,Todd Grantham,2010 Georgia Bulldogs football team,1311540303
2010,Georgia Tech Yellow Jackets,Paul Johnson,2008,,Al Groh,2010 Georgia Tech Yellow Jackets football team,1339779969
2010,Hawai'i Rainbow Warriors,Greg McMackin,2008,Nick Rolovich,Dave Aranda,2010 Hawaii Warriors football team,1338727784
2010,Houston Cougars,Kevin Sumlin,2008,Jason Phillips / Kliff Kingsbury,Brian Stewart,2010 Houston Cougars football team,1360228855
2010,Illinois Fighting Illini,Ron Zook,2005,Paul Petrino,Vic Koenning,2010 Illinois Fighting Illini football team,1339779983
2010,Indiana Hoosiers,Bill Lynch,2007,Matt Canada,Brian George / Joe Palcic,2010 Indiana Hoosiers football team,1333316342
2010,Iowa Hawkeyes,Kirk Ferentz,1999,Ken O'Keefe,Norm Parker,2010 Iowa Hawkeyes football team,1338060386
2010,Iowa State Cyclones,Paul Rhoads,2009,Tom Herman,Wally Burnham,2010 Iowa State Cyclones football team,1339455344
2010,Kansas Jayhawks,Turner Gill,2010,Chuck Long,Carl Torbush,2010 Kansas Jayhawks football team,1357968565
2010,Kansas State Wildcats,Bill Snyder,1992,Dana Dimel / Del Miller,Chris Cosh,2010 Kansas State Wildcats football team,1354155977
2010,Kent State Golden Flashes,Doug Martin,2004,,Pete Rekstis,2010 Kent State Golden Flashes football team,1348135082
2010,Kentucky Wildcats,Joker Phillips,2010,Randy Sanders,Steve Brown,2010 Kentucky Wildcats football team,1344431157
2010,LSU Tigers,Les Miles,2005,Gary Crowton,John Chavis,2010 LSU Tigers football team,1338051909
2010,Louisiana Ragin' Cajuns,Rickey Bustle,2002,Ron Hudson,Kevin Fouquier,2010 Louisiana–Lafayette Ragin' Cajuns football team,1339780042
2010,Louisiana Tech Bulldogs,Sonny Dykes,2010,Tony Franklin,Tommy Spangler,2010 Louisiana Tech Bulldogs football team,1368397111
2010,Louisville Cardinals,Charlie Strong,2010,Mike Sanford,Vance Bedford,2010 Louisville Cardinals football team,1336994498
2010,Marshall Thundering Herd,Doc Holliday,2010,Bill Legg / Tony Petersen,Chris Rippon,2010 Marshall Thundering Herd football team,1339280459
2010,Maryland Terrapins,Ralph Friedgen,2001,James Franklin,Don Brown,2010 Maryland Terrapins football team,1370816683
2010,Memphis Tigers,Larry Porter,2010,Eric Price,Jay Hopson,2010 Memphis Tigers football team,1339780061
2010,Miami (OH) RedHawks,Michael Haywood,2009,Morris Watts,Carl Reese,2010 Miami RedHawks football team,1339780078
2010,Miami Hurricanes,Randy Shannon,2007,Mark Whipple,John Lovett,2010 Miami Hurricanes football team,1369942341
2010,Michigan State Spartans,Mark Dantonio,2007,Don Treadwell,Pat Narduzzi,2010 Michigan State Spartans football team,1367909280
2010,Michigan Wolverines,Rich Rodriguez,2008,Calvin Magee,Greg Robinson,2010 Michigan Wolverines football team,1348644075
2010,Middle Tennessee Blue Raiders,Rick Stockstill,2006,Mike Schultz,Randall McCray,2010 Middle Tennessee Blue Raiders football team,1370043474
2010,Minnesota Golden Gophers,Tim Brewster,2007,Jeff Horton / Thomas Hammock,Kevin Cosgrove / Ronnie Lee,2010 Minnesota Golden Gophers football team,1347813954
2010,Mississippi State Bulldogs,Dan Mullen,2009,Les Koenning,Manny Diaz / Chris Wilson,2010 Mississippi State Bulldogs football team,1337604759
2010,Missouri Tigers,Gary Pinkel,2001,David Yost,Dave Steckel,2010 Missouri Tigers football team,1368944799
2010,NC State Wolfpack,Tom O'Brien,2007,Dana Bible,Mike Archer,2010 NC State Wolfpack football team,1339780111
2010,Navy Midshipmen,Ken Niumatalolo,2008,Ivin Jasper,Buddy Green,2010 Navy Midshipmen football team,1373537710
2010,Nebraska Cornhuskers,Bo Pelini,2008,Shawn Watson,Carl Pelini,2010 Nebraska Cornhuskers football team,1370116119
2010,Nevada Wolf Pack,Chris Ault,1985,,Andy Buh,2010 Nevada Wolf Pack football team,1360308232
2010,New Mexico Lobos,Mike Locksley,2009,Darrell Dickey,Doug Mallory,2010 New Mexico Lobos football team,1330387184
2010,New Mexico State Aggies,DeWayne Walker,2009,Mike Dunbar,,2010 New Mexico State Aggies football team,1339780122
2010,North Carolina Tar Heels,Butch Davis,2007,John Shoop,Everett Withers,2010 North Carolina Tar Heels football team,1367407131
2010,North Texas Mean Green,Todd Dodge,2007,Mike Canales,Gary DeLoach,2010 North Texas Mean Green football team,1339780156
2010,Northern Illinois Huskies,Jerry Kill,2008,Matt Limegrover,Tracy Claeys,2010 Northern Illinois Huskies football team,1359161739
2010,Northwestern Wildcats,Pat Fitzgerald,2006,Mick McCall,Mike Hankwitz,2010 Northwestern Wildcats football team,1339780172
2010,Notre Dame Fighting Irish,Brian Kelly,2010,Charley Molnar,Bob Diaco,2010 Notre Dame Fighting Irish football team,1374514333
2010,Ohio Bobcats,Frank Solich,2005,Tim Albin / Gerry Gdowski,Jim Burrow,2010 Ohio Bobcats football team,1339780175
2010,Ohio State Buckeyes,Jim Tressel,2001,Jim Bollman,Jim Heacock / Luke Fickell,2010 Ohio State Buckeyes football team,1331017042
2010,Oklahoma Sooners,Bob Stoops,1999,Kevin Wilson / Josh Heupel / Jay Norvell,Brent Venables,2010 Oklahoma Sooners football team,1338162712
2010,Oklahoma State Cowboys,Mike Gundy,2005,Dana Holgorsen,Bill Young,2010 Oklahoma State Cowboys football team,1339453426
2010,Ole Miss Rebels,Houston Nutt,2008,David Rader,Tyrone Nix,2010 Ole Miss Rebels football team,1332815875
2010,Oregon Ducks,Chip Kelly,2009,Mark Helfrich,Nick Aliotti,2010 Oregon Ducks football team,1365737273
2010,Oregon State Beavers,Mike Riley,2001,Danny Langsdorf,Mark Banker,2010 Oregon State Beavers football team,1328117339
2010,Penn State Nittany Lions,Joe Paterno,1966,Galen Hall,Tom Bradley,2010 Penn State Nittany Lions football team,1370086297
2010,Pittsburgh Panthers,Dave Wannstedt,2005,Frank Cignetti Jr. / Brian Angelichio,Phil Bennett,2010 Pittsburgh Panthers football team,1370096023
2010,Purdue Boilermakers,Danny Hope,,Gary Nord,Gary Emanuel,2010 Purdue Boilermakers football team,1344431174
2010,Rice Owls,David Bailiff,2007,David Beaty,Chuck Driesbach,2010 Rice Owls football team,1339780196
2010,Rutgers Scarlet Knights,Greg Schiano,2001,Kirk Ciarrocca / Kyle Flood,Bob Fraser / Ed Pinkham,2010 Rutgers Scarlet Knights football team,1334038361
2010,SMU Mustangs,June Jones,2008,,Tom Mason,2010 SMU Mustangs football team,1339379027
2010,San Diego State Aztecs,Brady Hoke,2009,Al Borges,Rocky Long,2010 San Diego State Aztecs football team,1339548276
2010,San José State Spartans,Mike MacIntyre,2010,Tim Landis,Kent Baer,2010 San Jose State Spartans football team,1336313377
2010,South Carolina Gamecocks,Steve Spurrier,2005,,Ellis Johnson,2010 South Carolina Gamecocks football team,1370124580
2010,South Florida Bulls,Skip Holtz,2010,Todd Fitch,Mark Snyder,2010 South Florida Bulls football team,1339780228
2010,Southern Miss Golden Eagles,Larry Fedora,2008,Blake Anderson,Todd Bradford,2010 Southern Miss Golden Eagles football team,1339780243
2010,Stanford Cardinal,Jim Harbaugh,2007,David Shaw,Vic Fangio,2010 Stanford Cardinal football team,1370129590
2010,Syracuse Orange,Doug Marrone,2009,,Scott Shafer,2010 Syracuse Orange football team,1336460894
2010,TCU Horned Frogs,Gary Patterson,2001,Jarrett Anderson / Justin Fuente,Dick Bumpas,2010 TCU Horned Frogs football team,1343756347
2010,Temple Owls,Al Golden,2006,Matt Rhule,Mark D'Onofrio,2010 Temple Owls football team,1339780249
2010,Tennessee Volunteers,Derek Dooley,2010,Jim Chaney,Justin Wilcox,2010 Tennessee Volunteers football team,1369927649
2010,Texas A&M Aggies,Mike Sherman,2008,,Tim DeRuyter,2010 Texas A&M Aggies football team,1370136884
2010,Texas Longhorns,Mack Brown,1998,Greg Davis,Will Muschamp,2010 Texas Longhorns football team,1357968420
2010,Texas Tech Red Raiders,Tommy Tuberville,2010,Neal Brown,James Willis,2010 Texas Tech Red Raiders football team,1375060269
2010,Toledo Rockets,Tim Beckman,2009,,,2010 Toledo Rockets football team,1339780294
2010,Troy Trojans,Larry Blakeney,1991,Kenny Edenfield,Jeremy Rowell,2010 Troy Trojans football team,1339780304
2010,Tulane Green Wave,Bob Toledo,2007,Dan Dodd,Steve Stanard,2010 Tulane Green Wave football team,1339780309
2010,Tulsa Golden Hurricane,Todd Graham,2007,Chad Morris,Keith Patterson / Paul Randolph,2010 Tulsa Golden Hurricane football team,1339780315
2010,UAB Blazers,Neil Callaway,2007,Kim Helton,Eric Schumann,2010 UAB Blazers football team,1339780321
2010,UCF Knights,George O'Leary,2004,Charlie Taaffe,Dave Huxtable,2010 UCF Knights football team,1373942279
2010,UCLA Bruins,Rick Neuheisel,2008,Norm Chow,Chuck Bullough,2010 UCLA Bruins football team,1375111425
2010,UConn Huskies,Randy Edsall,1999,Joe Moorhead,Todd Orlando,2010 Connecticut Huskies football team,1369952086
2010,UL Monroe Warhawks,Todd Berry,2010,Steve Farmer,Troy Reffett,2010 Louisiana–Monroe Warhawks football team,1339780048
2010,UNLV Rebels,Bobby Hauck,2010,Rob Phenicie,Kraig Paulson,2010 UNLV Rebels football team,1339780362
2010,USC Trojans,Lane Kiffin,2010,Kennedy Pola,Ed Orgeron,2010 USC Trojans football team,1368528264
2010,UTEP Miners,Mike Price,2004,Bob Connelly,Andre Patterson,2010 UTEP Miners football team,1339780368
2010,Utah State Aggies,Gary Andersen,2009,Dave Baldwin,Bill Busch,2010 Utah State Aggies football team,1339780380
2010,Utah Utes,Kyle Whittingham,2005,Dave Schramm / Aaron Roderick,Kalani Sitake,2010 Utah Utes football team,1339780398
2010,Vanderbilt Commodores,Robbie Caldwell,2010,Jimmy Kiser / Desmond Kitchings,Jamie Bryant,2010 Vanderbilt Commodores football team,1339780410
2010,Virginia Cavaliers,Mike London,2010,Bill Lazor,Jim Reid,2010 Virginia Cavaliers football team,1339780424
2010,Virginia Tech Hokies,Frank Beamer,1987,Bryan Stinespring,Bud Foster,2010 Virginia Tech Hokies football team,1339780439
2010,Wake Forest Demon Deacons,Jim Grobe,2001,Steed Lobotzke,Brad Lambert,2010 Wake Forest Demon Deacons football team,1370201439
2010,Washington Huskies,Steve Sarkisian,2009,Doug Nussmeier,Nick Holt,2010 Washington Huskies football team,1360400988
2010,Washington State Cougars,Paul Wulff,2008,Todd Sturdy,Chris Ball / Jody Sears,2010 Washington State Cougars football team,1339780456
2010,West Virginia Mountaineers,Bill Stewart,2008,Jeff Mullen,Jeff Casteel,2010 West Virginia Mountaineers football team,1339225525
2010,Western Kentucky Hilltoppers,Willie Taggart,2010,,Clint Bowen,2010 Western Kentucky Hilltoppers football team,1339780464
2010,Western Michigan Broncos,Bill Cubit,2005,,Dave Cohen,2010 Western Michigan Broncos football team,1339780471
2010,Wisconsin Badgers,Bret Bielema,2006,Paul Chryst,Dave Doeren,2010 Wisconsin Badgers football team,1365467925
2010,Wyoming Cowboys,Dave Christensen,2009,Marcus Arroyo,Marty English,2010 Wyoming Cowboys football team,1339027613
2011,Air Force Falcons,Troy Calhoun,2007,Clay Hendrix / Blane Morgan / Mike Thiessen,Matt Wallerstedt / Charlton Warren,2011 Air Force Falcons football team,1334674260
2011,Akron Zips,Rob Ianello,2010,John Latina,Kevin Cosgrove,2011 Akron Zips football team,1339377335
2011,Alabama Crimson Tide,Nick Saban,2007,Jim McElwain,Kirby Smart,2011 Alabama Crimson Tide football team,1365252184
2011,Arizona State Sun Devils,Dennis Erickson,2007,Noel Mazzone,Craig Bray,2011 Arizona State Sun Devils football team,1339780526
2011,Arizona Wildcats,Mike Stoops,2004,Seth Littrell,Tim Kish,2011 Arizona Wildcats football team,1339129412
2011,Arkansas Razorbacks,Bobby Petrino,2008,Garrick McGee,Willy Robinson,2011 Arkansas Razorbacks football team,1375128231
2011,Arkansas State Red Wolves,Hugh Freeze,2011,,Dave Wommack,2011 Arkansas State Red Wolves football team,1358020669
2011,Army Black Knights,Rich Ellerson,2009,Ian Shields,Payam Saadat / Chris Smeland,2011 Army Black Knights football team,1340830996
2011,Auburn Tigers,Gene Chizik,2009,Gus Malzahn,Ted Roof,2011 Auburn Tigers football team,1337873240
2011,BYU Cougars,Bronco Mendenhall,2005,Brandon Doman,,2011 BYU Cougars football team,1339133442
2011,Ball State Cardinals,Pete Lembo,2011,Rich Skrosky,Jay Bateman,2011 Ball State Cardinals football team,1339780565
2011,Baylor Bears,Art Briles,2008,Randy Clements / Philip Montgomery,Phil Bennett,2011 Baylor Bears football team,1334659093
2011,Boise State Broncos,Chris Petersen,2006,Brent Pease,Pete Kwiatkowski,2011 Boise State Broncos football team,1370402961
2011,Boston College Eagles,Frank Spaziani,2009,Kevin Rogers,Bill McGovern,2011 Boston College Eagles football team,1338364859
2011,Bowling Green Falcons,Dave Clawson,2009,Warren Ruggiero,Mike Elko,2011 Bowling Green Falcons football team,1350761628
2011,Buffalo Bulls,Jeff Quinn,2010,Alex Wood,William Inge,2011 Buffalo Bulls football team,1339676581
2011,California Golden Bears,Jeff Tedford,2002,Jim Michalczik,Clancy Pendergast,2011 California Golden Bears football team,1351143965
2011,Central Michigan Chippewas,Dan Enos,2010,Mike Cummings,Joe Tumpkin,2011 Central Michigan Chippewas football team,1339780858
2011,Cincinnati Bearcats,Butch Jones,2010,Mike Bajakian,Tim Banks / John Jancek,2011 Cincinnati Bearcats football team,1339780879
2011,Clemson Tigers,Dabo Swinney,2009,Chad Morris,Kevin Steele / Charlie Harbison,2011 Clemson Tigers football team,1335917646
2011,Colorado Buffaloes,Jon Embree,2011,Eric Bieniemy,Greg Brown,2011 Colorado Buffaloes football team,1370441121
2011,Colorado State Rams,Steve Fairchild,2008,Pat Meyer,Larry Kerr,2011 Colorado State Rams football team,1330375739
2011,Duke Blue Devils,David Cutcliffe,2008,Kurt Roper,Jim Knowles,2011 Duke Blue Devils football team,1368578052
2011,East Carolina Pirates,Ruffin McNeill,2010,Lincoln Riley,Brian Mitchell,2011 East Carolina Pirates football team,1339780916
2011,Eastern Michigan Eagles,Ron English,2009,Ken Karcher,Phil Snow,2011 Eastern Michigan Eagles football team,1365697199
2011,Florida Atlantic Owls,Howard Schnellenberger,2001,Daryl Jackson,Kurt Van Valkenburgh,2011 Florida Atlantic Owls football team,1339780987
2011,Florida Gators,Will Muschamp,2011,Charlie Weis,Dan Quinn,2011 Florida Gators football team,1367510751
2011,Florida International Panthers,Mario Cristobal,2007,Scott Satterfield,Todd Orlando,2011 FIU Panthers football team,1375115030
2011,Florida State Seminoles,Jimbo Fisher,2010,James Coley,Mark Stoops,2011 Florida State Seminoles football team,1335933184
2011,Fresno State Bulldogs,Pat Hill,1997,,Randy Stewart,2011 Fresno State Bulldogs football team,1338770719
2011,Georgia Bulldogs,Mark Richt,2001,Mike Bobo,Todd Grantham,2011 Georgia Bulldogs football team,1337896050
2011,Georgia Tech Yellow Jackets,Paul Johnson,2008,,Al Groh,2011 Georgia Tech Yellow Jackets football team,1339781030
2011,Hawai'i Rainbow Warriors,Greg McMackin,2008,Nick Rolovich,Dave Aranda,2011 Hawaii Warriors football team,1338727800
2011,Houston Cougars,Kevin Sumlin,2008,Jason Phillips / Kliff Kingsbury,Brian Stewart,2011 Houston Cougars football team,1374753467
2011,Illinois Fighting Illini,Ron Zook,2005,Paul Petrino,Vic Koenning,2011 Illinois Fighting Illini football team,1369007717
2011,Indiana Hoosiers,Kevin Wilson,2011,Kevin Johns / Rod Smith,Mike Ekeler / Doug Mallory,2011 Indiana Hoosiers football team,1333984922
2011,Iowa Hawkeyes,Kirk Ferentz,1999,Ken O'Keefe,Norm Parker,2011 Iowa Hawkeyes football team,1370555615
2011,Iowa State Cyclones,Paul Rhoads,2009,Tom Herman,Wally Burnham,2011 Iowa State Cyclones football team,1339455372
2011,Kansas Jayhawks,Turner Gill,2010,Chuck Long,Vic Shealy,2011 Kansas Jayhawks football team,1349692051
2011,Kansas State Wildcats,Bill Snyder,1992,Dana Dimel / Del Miller,Chris Cosh,2011 Kansas State Wildcats football team,1354110011
2011,Kent State Golden Flashes,Darrell Hazell,2011,Brian Rock,Jon Heacock,2011 Kent State Golden Flashes football team,1348135091
2011,Kentucky Wildcats,Joker Phillips,2010,Randy Sanders,Rick Minter,2011 Kentucky Wildcats football team,1344431167
2011,LSU Tigers,Les Miles,2005,Greg Studrawa,John Chavis,2011 LSU Tigers football team,1366999854
2011,Louisiana Ragin' Cajuns,Mark Hudspeth,2011,Jay Johnson,Greg Stewart,2011 Louisiana–Lafayette Ragin' Cajuns football team,1339781173
2011,Louisiana Tech Bulldogs,Sonny Dykes,2010,Tony Franklin,Tommy Spangler,2011 Louisiana Tech Bulldogs football team,1370586180
2011,Louisville Cardinals,Charlie Strong,2010,Mike Sanford / Shawn Watson,Vance Bedford,2011 Louisville Cardinals football team,1336994585
2011,Marshall Thundering Herd,Doc Holliday,2010,Bill Legg / Tony Petersen,Chris Rippon,2011 Marshall Thundering Herd football team,1339280500
2011,Maryland Terrapins,Randy Edsall,2011,Gary Crowton,Todd Bradford,2011 Maryland Terrapins football team,1370590601
2011,Memphis Tigers,Larry Porter,2010,Eric Price,Jay Hopson,2011 Memphis Tigers football team,1339781194
2011,Miami (OH) RedHawks,Don Treadwell,2011,John Klacik,Pete Rekstis,2011 Miami RedHawks football team,1339781213
2011,Miami Hurricanes,Al Golden,2011,Jedd Fisch,Mark D'Onofrio,2011 Miami Hurricanes football team,1369771879
2011,Michigan State Spartans,Mark Dantonio,2007,Dan Roushar,Pat Narduzzi,2011 Michigan State Spartans football team,1369007674
2011,Michigan Wolverines,Brady Hoke,2011,Al Borges,Greg Mattison,2011 Michigan Wolverines football team,1348644063
2011,Middle Tennessee Blue Raiders,Rick Stockstill,2006,Willie Simmons,Steve Ellis,2011 Middle Tennessee Blue Raiders football team,1370594544
2011,Minnesota Golden Gophers,Jerry Kill,2011,Matt Limegrover,Tracy Claeys,2011 Minnesota Golden Gophers football team,1370595257
2011,Mississippi State Bulldogs,Dan Mullen,2009,Les Koenning,Chris Wilson / Geoff Collins,2011 Mississippi State Bulldogs football team,1337896240
2011,Missouri Tigers,Gary Pinkel,2001,David Yost,Dave Steckel,2011 Missouri Tigers football team,1369136474
2011,NC State Wolfpack,Tom O'Brien,2007,Dana Bible,Mike Archer,2011 NC State Wolfpack football team,1339781254
2011,Navy Midshipmen,Ken Niumatalolo,2008,Ivin Jasper,Buddy Green,2011 Navy Midshipmen football team,1370624482
2011,Nebraska Cornhuskers,Bo Pelini,2008,Tim Beck,Carl Pelini,2011 Nebraska Cornhuskers football team,1370116144
2011,Nevada Wolf Pack,Chris Ault,1985,,Andy Buh,2011 Nevada Wolf Pack football team,1338768693
2011,New Mexico Lobos,Mike Locksley,2009,David Reaves,George Barlow,2011 New Mexico Lobos football team,1330387217
2011,New Mexico State Aggies,DeWayne Walker,2009,Doug Martin,Dale Lindsey,2011 New Mexico State Aggies football team,1339781273
2011,North Carolina Tar Heels,Everett Withers,2011,John Shoop,Art Kaufman,2011 North Carolina Tar Heels football team,1336647904
2011,North Texas Mean Green,Dan McCarney,2011,Mike Canales,Clint Bowen,2011 North Texas Mean Green football team,1339789289
2011,Northern Illinois Huskies,Dave Doeren,2011,Matt Canada,Jay Niemann,2011 Northern Illinois Huskies football team,1339451183
2011,Northwestern Wildcats,Pat Fitzgerald,2006,Mick McCall,Mike Hankwitz,2011 Northwestern Wildcats football team,1339789402
2011,Notre Dame Fighting Irish,Brian Kelly,2010,Charley Molnar,Bob Diaco,2011 Notre Dame Fighting Irish football team,1374514340
2011,Ohio Bobcats,Frank Solich,2005,Tim Albin / Gerry Gdowski,Jim Burrow,2011 Ohio Bobcats football team,1339789409
2011,Ohio State Buckeyes,Luke Fickell,,Jim Bollman,Jim Heacock,2011 Ohio State Buckeyes football team,1331017066
2011,Oklahoma Sooners,Bob Stoops,1999,Josh Heupel / Jay Norvell,Brent Venables,2011 Oklahoma Sooners football team,1338162791
2011,Oklahoma State Cowboys,Mike Gundy,2005,Todd Monken,Bill Young / Glenn Spencer,2011 Oklahoma State Cowboys football team,1339453403
2011,Ole Miss Rebels,Houston Nutt,2008,David Lee,Tyrone Nix,2011 Ole Miss Rebels football team,1370632299
2011,Oregon Ducks,Chip Kelly,2009,Mark Helfrich,Nick Aliotti,2011 Oregon Ducks football team,1365737183
2011,Oregon State Beavers,Mike Riley,2001,Danny Langsdorf,Mark Banker,2011 Oregon State Beavers football team,1328117319
2011,Penn State Nittany Lions,Joe Paterno,1966,Galen Hall,Tom Bradley / Larry Johnson / Ron Vanderlinden,2011 Penn State Nittany Lions football team,1363849693
2011,Pittsburgh Panthers,Todd Graham,2011,Calvin Magee / Mike Norvell,Keith Patterson / Paul Randolph,2011 Pittsburgh Panthers football team,1363849712
2011,Purdue Boilermakers,Danny Hope,2009,Gary Nord,Gary Emanuel,2011 Purdue Boilermakers football team,1367180625
2011,Rice Owls,David Bailiff,2007,John Reagan,Chuck Driesbach,2011 Rice Owls football team,1344627291
2011,Rutgers Scarlet Knights,Greg Schiano,2001,"Frank Cignetti, Jr.",Bob Fraser,2011 Rutgers Scarlet Knights football team,1334038412
2011,SMU Mustangs,June Jones,2008,,Tom Mason,2011 SMU Mustangs football team,1339378983
2011,San Diego State Aztecs,Rocky Long,2011,Andy Ludwig,,2011 San Diego State Aztecs football team,1339548261
